Origin,Fork_Count,Total_Commits,PR_Commits,Fork_Only_Commits,PR_Coverage_Pct,PR_Count
gcc-mirror/gcc,4389,250744,187,250557,0.01,7
bitcoin/bitcoin,31685,226926,25175,201751,10.9,10407
openwrt/openwrt,10035,190171,5781,184390,2.33,1751
TrinityCore/TrinityCore,5528,173326,2921,170405,0.72,247
git/git,23785,131249,764,130485,0.06,31
qemu/qemu,4924,98893,599,98294,0.44,28
raspberrypi/linux,4956,83992,4111,79881,3.81,683
godotengine/godot,23823,81625,10373,71252,11.13,8154
microsoft/WSL2-Linux-Kernel,1256,80564,135,80429,0.0,6
ArduPilot/ardupilot,19026,79782,23580,56202,27.93,5553
xbmc/xbmc,5842,79053,10990,68063,12.74,4147
microsoft/onnxruntime,3482,77128,71653,5475,19.89,13846
tensorflow/tensorflow,89889,68369,50526,17843,25.98,44356
zephyrproject-rtos/zephyr,7910,68326,10515,57811,11.4,4812
OSGeo/gdal,2740,64701,11561,53140,15.25,5724
flipperdevices/flipperzero-firmware,2331,61941,14261,47680,2.07,2188
electron/electron,17526,56115,54118,1997,1.19,21192
micropython/micropython,6330,52731,6446,46285,11.87,2361
PX4/PX4-Autopilot,13805,50580,36389,14191,7.17,11702
coolsnowwolf/lede,19595,49202,400,48802,0.81,252
MarlinFirmware/Marlin,15844,48453,15650,32803,28.74,4318
blender/blender,2639,44123,0,44123,0.0,0
o3de/o3de,2382,42547,38207,4340,89.64,8946
qmk/qmk_firmware,37434,39663,15034,24629,30.78,3344
swiftlang/swift,10722,37936,21468,16468,37.91,8922
ClickHouse/ClickHouse,7887,34488,0,34488,0.0,0
qgis/QGIS,3274,34137,32732,1405,94.33,11631
project-chip/connectedhomeip,2163,32320,22679,9641,15.36,6008
zcash/zcash,1595,31224,5068,26156,11.73,1188
ggml-org/llama.cpp,12218,28678,11386,17292,19.73,3121
u-boot/u-boot,3122,28426,16,28410,0.0,10
cyberbotics/webots,1859,27474,24951,2523,3.44,4346
pret/pokeemerald,1341,27229,1716,25513,5.94,473
PixarAnimationStudios/OpenUSD,1298,26396,1066,25330,3.94,619
iree-org/iree,805,25750,11059,14691,1.22,4991
Klipper3d/klipper,5372,24343,2385,21958,4.35,622
reactos/reactos,2022,24148,2205,21943,3.98,535
wine-mirror/wine,1073,24083,65,24018,0.15,3
emscripten-core/emscripten,3511,23605,17860,5745,39.23,7828
facebook/react-native,25063,22643,4659,17984,4.16,1940
ceph/ceph,6052,21722,0,21722,0.0,0
esphome/esphome,4339,21598,18464,3134,48.81,5143
EOSIO/eos,3457,21500,18288,3212,7.75,4593
netdata/netdata,6310,21400,12545,8855,48.26,4087
hrydgard/ppsspp,2320,21327,19524,1803,84.88,6286
monero-project/monero,3515,20807,4887,15920,23.18,2817
ethereum-mining/ethminer,2117,20582,1221,19361,0.39,469
mapbox/mapbox-gl-native,1297,19382,19301,81,27.68,7805
FreeCAD/FreeCAD,4896,18898,6838,12060,33.91,2508
libsdl-org/SDL,2355,18876,1976,16900,10.34,830
argotorg/solidity,6491,18850,15286,3564,6.99,6807
systemd/systemd,4147,17786,13668,4118,76.32,4536
openssl/openssl,5800,17568,4333,13235,16.15,931
openzfs/zfs,1792,17116,3820,13296,21.54,2142
PCSX2/pcsx2,1870,16697,6169,10528,10.86,2663
OISF/suricata,1579,16000,10506,5494,41.68,1773
cocos2d/cocos2d-x,6659,15466,10578,4888,66.42,3446
openscenegraph/OpenSceneGraph,1383,15113,299,14814,0.52,38
microsoft/terminal,9390,14865,14346,519,5.46,3235
official-stockfish/Stockfish,2615,14755,1648,13107,10.26,574
envoyproxy/envoy,5105,14381,9417,4964,5.65,5360
RPCS3/rpcs3,2128,14267,12069,2198,84.11,4459
opencv/opencv,56050,13891,10608,3283,75.47,3526
FRRouting/frr,1379,13750,10137,3613,63.58,4703
dolphin-emu/dolphin,2498,13621,1688,11933,8.97,442
b4winckler/macvim,331,13481,126,13355,0.72,11
MaaAssistantArknights/MaaAssistantArknights,2429,13467,13466,1,50.0,2036
ElementsProject/lightning,945,13339,3354,9985,19.99,776
radareorg/radare2,3173,13246,13144,102,4.67,5657
protocolbuffers/protobuf,16030,13183,13020,163,14.66,11779
prusa3d/PrusaSlicer,1536,12901,829,12072,1.54,122
Tencent/ncnn,4265,12891,6388,6503,45.71,1176
isl-org/Open3D,2429,12232,8686,3546,4.39,1618
FFmpeg/FFmpeg,11583,12155,1102,11053,1.98,53
mamedev/mame,2095,12058,2884,9174,12.47,640
php/php-src,8066,11899,4344,7555,30.68,1212
meshtastic/firmware,1710,11134,9849,1285,58.22,2801
rathena/rathena,2518,10642,8790,1852,4.63,2520
betaflight/betaflight,3357,10619,2036,8583,7.06,543
uxlfoundation/oneDNN,1013,10565,4663,5902,3.48,1769
obsproject/obs-studio,8979,10439,1323,9116,7.56,414
kuzudb/kuzu,339,10318,10317,1,0.0,3789
nanocurrency/nano-node,743,10066,1725,8341,0.69,438
facebookincubator/velox,1214,10021,755,9266,1.62,505
chromium/chromium,7730,9986,357,9629,2.13,38
BVLC/caffe,13911,9874,2547,7327,22.02,480
contiki-os/contiki,2167,9853,800,9053,8.04,321
shadps4-emu/shadPS4,1559,9828,3766,6062,13.54,678
openframeworks/openFrameworks,2503,9494,4558,4936,45.45,986
curl/curl,7079,9298,8930,368,8.0,5383
CleverRaven/Cataclysm-DDA,4433,9259,6816,2443,48.87,2653
google/filament,2099,9231,9006,225,0.0,5237
