Original Repo ID,Average Fork Lifespan (days),Fork Count,Forks >= 10,Contributions >= 10,Contributions < 10,Developers,Common Contributions,Forks - Contributions >= 10 - Developers,PR Count,PR Commits Count,Stars >= 10 PRs Count,Stars >= 10 and Unique Commits PRs Count,Stars >= 10 PRs Commits Count,Stars >= 10 and Unique Commits PRs Commits Count,Accepted PR avg lifetime per origin,Stars >= 10 and Unique Commits PR Accepted PR avg lifetime per origin,Forks Unique Commits Count + PR Commits Count,Fork's unique commits,Fork's commits from PR over all unique commits proportion
woltapp/blurhash,1654.97,361,1,0,0,1,0,0,83,119,0,0,0,0,,,125,6,0.00%
tursodatabase/libsql,0,449,0,0,0,0,0,0,1004,2588,0,0,0,0,,,2588,0,#DIV/0!
koekeishiya/yabai,1533.24,690,1,0,0,1,0,0,0,0,0,0,0,0,,,18,18,0.00%
nicbarker/clay,0,626,0,0,0,0,0,0,37,250,0,0,0,0,,,250,0,#DIV/0!
fastfetch-cli/fastfetch,160.06,634,1,0,0,1,0,0,153,2633,0,0,0,0,,,2635,2,0.00%
davatorium/rofi,3254.19,621,1,1,0,1,1,0,92,569,12,12,67,67,41.44,41.44,600,31,68.37%
ExistentialAudio/BlackHole,507.23,728,2,0,0,2,0,0,9,91,0,0,0,0,,,95,4,0.00%
jart/cosmopolitan,458.31,810,2,0,0,2,0,0,6,6,0,0,0,0,,,22,16,0.00%
brunodev85/winlator,422.14,795,13,4,0,13,4,0,7,55,7,7,55,55,3.6,3.6,2140,2085,2.57%
jarun/nnn,0,819,0,0,0,0,0,0,12,32,0,0,0,0,,,32,0,#DIV/0!
valkey-io/valkey,171.19,997,1,1,0,1,1,0,11,77,1,1,30,30,,,101,24,55.56%
timescale/timescaledb,0,1023,0,0,0,0,0,0,1127,1852,0,0,0,0,,,1852,0,#DIV/0!
pgvector/pgvector,0,960,0,0,0,0,0,0,3,7,0,0,0,0,,,7,0,#DIV/0!
ffmpegwasm/ffmpeg.wasm,1100.9,1010,3,3,0,3,3,0,72,105,4,4,36,36,243.77,243.77,199,94,27.69%
allinurl/goaccess,0,1244,0,0,0,0,0,0,4,35,0,0,0,0,,,35,0,#DIV/0!
swaywm/sway,1118.38,1199,2,1,0,2,1,0,93,302,3,3,35,35,0.18,0.18,959,657,5.06%
valinet/ExplorerPatcher,1139.93,1267,4,1,0,3,1,1,3,18,2,2,15,15,0,0,290,272,5.23%
ish-app/ish,1379.31,1217,2,1,0,2,1,0,50,236,16,16,113,113,125.14,125.14,885,649,14.83%
mozilla-ai/llamafile,0,1327,0,0,0,0,0,0,11,62,0,0,0,0,,,62,0,#DIV/0!
NVIDIA/open-gpu-kernel-modules,863.86,1407,2,0,0,2,0,0,0,0,0,0,0,0,,,69,69,0.00%
ggreer/the_silver_searcher,2710.72,1487,5,3,0,4,3,1,74,428,16,16,49,49,39.4,39.4,926,498,8.96%
gojue/ecapture,0,1587,0,0,0,0,0,0,254,715,0,0,0,0,,,715,0,#DIV/0!
ImageMagick/ImageMagick,0.26,1526,1,0,0,0,0,1,30,31,0,0,0,0,,,31,0,#DIV/0!
HandBrake/HandBrake,625.2,1565,1,0,0,1,0,0,67,386,0,0,0,0,,,409,23,0.00%
jqlang/jq,0,1754,0,0,0,0,0,0,66,91,0,0,0,0,,,91,0,#DIV/0!
sandboxie-plus/Sandboxie,969.28,1784,3,0,0,3,0,0,121,276,0,0,0,0,,,337,61,0.00%
DarkFlippers/unleashed-firmware,1072.13,1760,10,5,2,9,4,0,60,427,30,29,295,265,1.97,1.55,3051,2624,9.17%
vurtun/nuklear,3461.45,1154,1,1,0,1,1,0,1,4,1,1,4,4,1.19,1.19,50,46,8.00%
sumatrapdfreader/sumatrapdf,2572.7,1817,2,1,0,2,1,0,72,316,1,1,1,1,0.79,0.79,394,78,1.27%
jonas/tig,0,645,0,0,0,0,0,0,18,36,0,0,0,0,,,36,0,#DIV/0!
kingToolbox/WindTerm,1326.35,2270,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
reactos/reactos,1958.81,2022,5,3,0,5,3,0,535,2205,289,289,910,910,22.13,22.13,24148,21943,3.98%
karpathy/llama2.c,647.53,2243,25,21,0,24,20,0,47,213,36,35,166,161,9.6,10.14,899,686,19.01%
ValdikSS/GoodbyeDPI,432.53,2198,2,1,0,2,1,0,2,40,1,1,10,10,,,150,110,8.33%
bol-van/zapret,480.54,1045,4,2,0,4,2,0,3,31,3,3,31,31,,,1962,1931,1.58%
tmux/tmux,3337.08,2410,2,2,0,2,2,0,3,32,2,2,2,2,,,301,269,0.74%
s-matyukevich/raspberry-pi-os,1768.55,1321,1,0,0,1,0,0,0,0,0,0,0,0,,,439,439,0.00%
facebook/zstd,101.05,2447,14,1,0,1,1,13,855,3948,25,25,88,88,1.81,1.81,3974,26,77.19%
flipperdevices/flipperzero-firmware,982.16,2331,23,12,3,23,12,0,2188,14261,109,109,1008,1008,15.29,15.51,61941,47680,2.07%
haiwen/seafile,0,1629,0,0,0,0,0,0,365,567,0,0,0,0,,,567,0,#DIV/0!
octalmage/robotjs,1619.53,938,4,2,0,4,2,0,49,243,3,3,42,42,876.89,876.89,552,309,11.97%
skywind3000/kcp,0,2586,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
acidanthera/OpenCorePkg,1890.11,2247,2,0,0,2,0,0,188,1324,0,0,0,0,,,1881,557,0.00%
DoctorWkt/acwj,0,1155,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
openresty/openresty,0,1617,0,0,0,0,0,0,25,56,0,0,0,0,,,56,0,#DIV/0!
wazuh/wazuh,0,2098,0,0,0,0,0,0,9081,43773,0,0,0,0,,,43773,0,#DIV/0!
raysan5/raylib,916.71,2797,5,3,0,5,3,0,76,947,5,5,15,15,1.43,1.43,1384,437,3.32%
winsiderss/systeminformer,2071.92,1569,3,3,0,3,3,0,87,406,19,19,53,53,0.55,0.55,7503,7097,0.74%
pbatard/rufus,1173.91,3009,4,0,0,4,0,0,21,50,0,0,0,0,,,597,547,0.00%
citusdata/citus,0,752,0,0,0,0,0,0,4727,13621,0,0,0,0,,,13621,0,#DIV/0!
libsdl-org/SDL,1091.27,2355,10,5,0,10,5,0,830,1976,823,823,1948,1948,3.39,3.39,18876,16900,10.34%
jedisct1/libsodium,2292.07,1751,1,1,0,1,1,0,5,15,1,1,2,2,,,74,59,3.28%
radareorg/radare2,2594.61,3173,2,1,0,2,1,0,5657,13144,2,2,5,5,0.31,0.31,13246,102,4.67%
SpacehuhnTech/esp8266_deauther,1839.65,2687,7,1,0,7,1,0,28,240,1,1,7,7,,,321,81,7.95%
Awesome-HarmonyOS/HarmonyOS,1840.06,3281,2,0,0,0,0,2,0,0,0,0,0,0,,,0,0,#DIV/0!
wg/wrk,2814.79,3063,3,2,0,3,2,0,2,29,2,2,29,29,,,80,51,36.25%
microsoft/mimalloc,1439.29,992,1,0,0,1,0,0,5,34,0,0,0,0,,,96,62,0.00%
google/sanitizers,0,1111,0,0,0,0,0,0,19,39,0,0,0,0,,,39,0,#DIV/0!
robertdavidgraham/masscan,1983.64,3219,3,1,0,2,1,1,11,51,1,1,30,30,0.88,0.88,62,11,73.17%
cfenollosa/os-tutorial,1904.7,3343,3,0,0,1,0,2,0,0,0,0,0,0,,,9,9,0.00%
mpv-player/mpv,3222.08,3247,4,1,0,4,1,0,61,258,3,3,11,11,249.62,249.62,624,366,2.92%
hashcat/hashcat,2991.29,3323,5,4,0,3,2,0,866,1645,827,794,1327,1258,12.36,12.14,1799,154,89.09%
coturn/coturn,0,2178,0,0,0,0,0,0,75,180,0,0,0,0,,,180,0,#DIV/0!
UberGuidoZ/Flipper,928.45,3457,10,7,0,6,3,0,127,393,124,21,391,34,1.11,0.45,460,67,33.66%
FelixKratz/SketchyBar,0,142,0,0,0,0,0,0,3,36,0,0,0,0,,,36,0,#DIV/0!
SamyPesse/How-to-Make-a-Computer-Operating-System,2986.58,3437,2,0,0,1,0,1,0,0,0,0,0,0,,,7,7,0.00%
peng-zhihui/Dummy-Robot,53.82,3029,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
lizongying/my-tv,351.28,3647,2,1,0,0,0,1,1,1,1,0,1,0,0,,1,0,#DIV/0!
krallin/tini,0,541,0,0,0,0,0,0,42,93,0,0,0,0,,,93,0,#DIV/0!
h2o/h2o,1641.79,891,1,0,0,1,0,0,1215,5693,0,0,0,0,,,5819,126,0.00%
darktable-org/darktable,468.95,1228,1,0,0,1,0,0,357,1223,0,0,0,0,,,1332,109,0.00%
andlabs/libui,0,630,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
libuv/libuv,2386.12,3839,1,1,0,1,1,0,63,152,4,4,8,8,9.21,9.21,791,639,1.24%
iovisor/bcc,2406.29,3881,2,2,0,2,2,0,756,1044,117,117,237,237,0.74,0.74,1058,14,94.42%
alibaba/tengine,0,2520,0,0,0,0,0,0,16,126,0,0,0,0,,,126,0,#DIV/0!
libvips/libvips,1600.93,728,1,0,0,0,0,1,200,1145,0,0,0,0,,,1145,0,#DIV/0!
Immediate-Mode-UI/Nuklear,0,663,0,0,0,0,0,0,39,152,0,0,0,0,,,152,0,#DIV/0!
libretro/RetroArch,1885,1881,18,13,0,17,12,0,1141,2799,677,669,1295,1277,0.23,0.23,4540,1741,42.31%
twitter/twemproxy,2843.2,2003,2,1,0,2,1,0,22,40,1,1,4,4,,,72,32,11.11%
gentilkiwi/mimikatz,1674.94,3976,4,2,0,4,2,0,2,3,2,2,3,3,,,123,120,2.44%
Tencent/wcdb,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
arut/nginx-rtmp-module,2862.66,3195,5,1,0,5,1,0,7,45,5,5,12,12,,,1966,1921,0.62%
lvgl/lvgl,1330.12,3904,5,2,0,5,2,0,698,1754,504,504,1188,1188,5.03,5.03,2733,979,54.82%
memcached/memcached,3786.36,3254,8,3,0,7,3,1,188,599,186,186,597,597,27.75,27.75,3182,2583,18.77%
openzfs/zfs,2335.49,1792,12,9,0,12,9,0,2142,3820,2127,2127,3651,3651,6.5,6.5,17116,13296,21.54%
Cyan4973/xxHash,2799.14,879,2,0,0,2,0,0,291,1155,0,0,0,0,,,1161,6,0.00%
rui314/chibicc,846.64,1037,2,0,0,2,0,0,0,0,0,0,0,0,,,184,184,0.00%
leandromoreira/ffmpeg-libav-tutorial,0,992,0,0,0,0,0,0,3,26,0,0,0,0,,,26,0,#DIV/0!
Syllo/nvtop,1629.24,348,1,0,0,1,0,0,3,4,0,0,0,0,,,27,23,0.00%
duixcom/Duix-Avatar,0,1932,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
SoftEtherVPN/SoftEtherVPN,1742.18,2742,4,3,0,4,3,0,91,170,44,44,115,115,5.48,5.48,383,213,35.06%
openwall/john,2040.82,2387,5,3,0,5,3,0,707,1520,420,420,648,648,2.02,2.02,2597,1077,37.57%
lz4/lz4,0,1521,0,0,0,0,0,0,451,1827,0,0,0,0,,,1827,0,#DIV/0!
tsl0922/ttyd,0,1049,0,0,0,0,0,0,736,779,0,0,0,0,,,779,0,#DIV/0!
imbushuo/mac-precision-touchpad,924.04,624,1,1,0,1,1,0,31,154,1,1,3,3,,,171,17,15.00%
systemd/systemd,2702.53,4147,4,2,0,4,2,0,4536,13668,4183,4183,13273,13273,3.27,3.27,17786,4118,76.32%
i3/i3,2464.38,787,1,0,0,1,0,0,31,80,0,0,0,0,,,95,15,0.00%
cesanta/mongoose,3956.25,2784,3,1,0,2,1,1,951,1181,2,2,30,30,,,1280,99,23.26%
fogleman/Craft,3081.76,1419,6,3,0,6,3,0,8,87,3,3,38,38,,,791,704,5.12%
apple/darwin-xnu,2104.82,1640,3,0,0,2,0,1,0,0,0,0,0,0,,,36,36,0.00%
OpenVPN/openvpn,2516.53,3223,4,0,0,4,0,0,59,239,0,0,0,0,,,377,138,0.00%
rofl0r/proxychains-ng,0,1179,0,0,0,0,0,0,2,3,0,0,0,0,,,3,0,#DIV/0!
pymumu/smartdns,1561.23,1199,2,2,0,2,2,0,23,122,14,14,78,78,17.78,17.78,798,676,10.34%
cstack/db_tutorial,0,1049,0,0,0,0,0,0,15,15,0,0,0,0,,,15,0,#DIV/0!
openresty/lua-nginx-module,3468.63,2049,1,0,0,1,0,0,128,323,0,0,0,0,,,396,73,0.00%
rswier/c4,2613.01,1439,7,1,0,7,1,0,1,1,1,1,1,1,,,155,154,0.65%
Flipper-XFW/Xtreme-Firmware,823.94,716,4,1,1,2,0,1,101,966,4,0,3,0,0.45,,1283,317,0.00%
ventoy/Ventoy,853.1,4794,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
arendst/Tasmota,2268.12,4839,12,5,0,12,5,0,1005,2754,822,822,2071,2071,0.36,0.36,7826,5072,28.99%
Xfennec/progress,3815.69,322,1,1,0,1,1,0,4,20,4,4,20,20,80.7,80.7,21,1,95.24%
bellard/quickjs,1488.75,908,8,1,0,8,1,0,2,31,1,1,30,30,,,1068,1037,2.81%
floooh/sokol,818.48,632,1,1,0,0,0,0,166,1636,2,0,3,0,2.05,,1636,0,#DIV/0!
AppImage/AppImageKit,0,598,0,0,0,0,0,0,173,646,0,0,0,0,,,646,0,#DIV/0!
TheAlgorithms/C,1439.63,4709,2,1,0,1,1,1,46,163,1,1,1,1,71.39,71.39,166,3,25.00%
jemalloc/jemalloc,1574.87,1506,2,0,0,2,0,0,4,30,0,0,0,0,,,114,84,0.00%
tporadowski/redis,0,1155,0,0,0,0,0,0,3,11,0,0,0,0,,,11,0,#DIV/0!
yugabyte/yugabyte-db,0,1213,0,0,0,0,0,0,357,1120,0,0,0,0,,,1120,0,#DIV/0!
nmap/nmap,1977.01,2706,5,3,0,4,3,1,3,39,3,3,39,39,,,95,56,41.05%
cloudwu/skynet,2647.59,4195,6,6,0,6,6,0,106,531,14,14,28,28,0.44,0.44,1102,571,4.67%
ahrm/sioyek,1475.8,293,1,0,0,1,0,0,0,0,0,0,0,0,,,268,268,0.00%
microsoft/WSL2-Linux-Kernel,1520,1256,7,0,0,5,0,2,6,135,0,0,0,0,,,80564,80429,0.00%
skeeto/endlessh,1432.48,302,1,0,0,1,0,0,0,0,0,0,0,0,,,28,28,0.00%
squeaky-pl/japronto,0,575,0,0,0,0,0,0,9,16,0,0,0,0,,,16,0,#DIV/0!
vanhauser-thc/thc-hydra,0,2425,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
taosdata/TDengine,0,5036,0,0,0,0,0,0,27624,85226,0,0,0,0,,,85226,0,#DIV/0!
postgres/postgres,2079.28,5045,6,2,0,6,2,0,16,452,6,6,152,152,,,7739,7287,2.04%
