fork repo,prs_submitted,prs_merged,primary_origin,merge_rate
poettering/systemd,4086,3951,systemd/systemd,0.9669603524229075
ktsaou/netdata,1859,1658,netdata/netdata,0.891877353415815
Jojo-Schmitz/MuseScore,1787,1709,musescore/MuseScore,0.9563514269725797
RaiKoHoff/Notepad3,1502,1303,rizonesoft/Notepad3,0.8675099866844208
RussTedrake/drake,1209,1163,RobotLocomotion/drake,0.9619520264681555
dpgeorge/micropython,1020,974,micropython/micropython,0.9549019607843138
Intel-tensorflow/tensorflow,900,836,tensorflow/tensorflow,0.9288888888888889
nihui/ncnn,871,727,Tencent/ncnn,0.8346727898966705
kd-11/rpcs3,847,826,RPCS3/rpcs3,0.9752066115702479
laanwj/bitcoin,825,796,bitcoin/bitcoin,0.9648484848484848
drashna/qmk_firmware,792,661,qmk/qmk_firmware,0.8345959595959596
sipa/bitcoin,753,730,bitcoin/bitcoin,0.9694555112881806
qndel/Infernity,643,438,diasurgical/devilution,0.6811819595645412
awesomekling/serenity,538,534,SerenityOS/serenity,0.9925650557620818
garbear/xbmc,536,505,xbmc/xbmc,0.9421641791044776
ROCm/tensorflow-upstream,520,305,tensorflow/tensorflow,0.5865384615384616
awwbees/BespokeSynth,462,412,BespokeSynth/BespokeSynth,0.8917748917748918
Memphiz/xbmc,425,347,xbmc/xbmc,0.8164705882352942
popcornmix/xbmc,406,385,xbmc/xbmc,0.9482758620689655
zfsonfreebsd/ZoF,382,286,openzfs/zfs,0.7486910994764397
thexai/xbmc,366,339,xbmc/xbmc,0.9262295081967213
reduz/godot,343,341,godotengine/godot,0.9941690962099126
Ondsel-Development/FreeCAD,338,327,FreeCAD/FreeCAD,0.9674556213017751
johanmalm/labwc,319,280,labwc/labwc,0.877742946708464
yuanming-hu/taichi,316,280,taichi-dev/taichi,0.8860759493670886
octo/collectd,277,256,collectd/collectd,0.924187725631769
DizzyEggg/pokeemerald,275,193,pret/pokeemerald,0.7018181818181818
TellowKrinkle/pcsx2,265,234,PCSX2/pcsx2,0.8830188679245283
InsanityAutomation/Marlin,257,239,MarlinFirmware/Marlin,0.9299610894941635
robimarko/openwrt,248,180,openwrt/openwrt,0.7258064516129032
torusrxxx/x64dbg,224,212,x64dbg/x64dbg,0.9464285714285714
ascillato/Tasmota_KNX,203,190,arendst/Tasmota,0.9359605911330049
Ansuel/openwrt,199,140,openwrt/openwrt,0.7035175879396985
gavinandresen/bitcoin-git,180,165,bitcoin/bitcoin,0.9166666666666666
stefanbode/Sonoff-Tasmota,178,175,arendst/Tasmota,0.9831460674157303
rhapsodyv/Marlin,176,162,MarlinFirmware/Marlin,0.9204545454545454
DeterminateSystems/nix-src,176,167,NixOS/nix,0.9488636363636364
sipa/secp256k1,175,166,bitcoin-core/secp256k1,0.9485714285714286
microsoft/cocos2d-x,166,94,cocos2d/cocos2d-x,0.5662650602409639
intel/onnxruntime,164,133,microsoft/onnxruntime,0.8109756097560976
ZhengPeiRu21/azerothcore-wotlk,162,162,azerothcore/azerothcore-wotlk,1.0
winlinvip/srs,162,133,ossrs/srs,0.8209876543209876
realthunder/FreeCAD,158,156,FreeCAD/FreeCAD,0.9873417721518988
fxliang/weasel,157,140,rime/weasel,0.89171974522293
WinterSnowfall/d7vk,135,128,doitsujin/dxvk,0.9481481481481482
oliverschmidt/contiki,132,96,contiki-os/contiki,0.7272727272727273
vinniefalco/beast,126,118,boostorg/beast,0.9365079365079365
987123879113/mame,122,107,mamedev/mame,0.8770491803278688
jeffdonahue/caffe,118,113,BVLC/caffe,0.9576271186440678
brendangregg/bcc,115,108,iovisor/bcc,0.9391304347826087
OatmealDome/dolphin,107,88,dolphin-emu/dolphin,0.822429906542056
srh/rethinkdb,98,80,rethinkdb/rethinkdb,0.8163265306122449
pkviet/obs-studio,97,93,obsproject/obs-studio,0.9587628865979382
vaxerski/Hyprland,90,82,hyprwm/Hyprland,0.9111111111111111
wilba/qmk_firmware,84,72,qmk/qmk_firmware,0.8571428571428571
iij/mruby,82,80,mruby/mruby,0.975609756097561
bmorcelli/Bruce,82,55,BruceDevices/firmware,0.6707317073170732
longjon/caffe,80,76,BVLC/caffe,0.95
yajiedesign/mxnet,77,64,apache/mxnet,0.8311688311688312
raphaelthegreat/shadPS4,72,69,shadps4-emu/shadPS4,0.9583333333333334
autodesk-forks/USD,70,70,PixarAnimationStudios/OpenUSD,1.0
cudawarped/opencv_contrib,68,68,opencv/opencv_contrib,1.0
publicarray/spksrc,66,40,SynoCommunity/spksrc,0.6060606060606061
vittorioromeo/VRSFML,63,61,SFML/SFML,0.9682539682539683
opdenkamp/xbmc,61,53,xbmc/xbmc,0.8688524590163934
petertodd/bitcoin,60,56,bitcoin/bitcoin,0.9333333333333333
joelucid/betaflight,56,53,betaflight/betaflight,0.9464285714285714
tqchen/xgboost,56,49,dmlc/xgboost,0.875
dmbutyugin/klipper,55,54,Klipper3d/klipper,0.9818181818181818
davidgiven/FUZIX,54,41,EtchedPixels/FUZIX,0.7592592592592593
lukeiwanski/tensorflow,53,53,tensorflow/tensorflow,1.0
cloudwu/bgfx,48,47,bkaradzic/bgfx,0.9791666666666666
google/DirectXShaderCompiler,48,47,microsoft/DirectXShaderCompiler,0.9791666666666666
sanikoyes/godot,48,46,godotengine/godot,0.9583333333333334
schinagl/winfile,40,37,microsoft/winfile,0.925
Yonsm/rt-n56u,39,18,hanwckf/rt-n56u,0.46153846153846156
Keychron/qmk_firmware,38,33,qmk/qmk_firmware,0.868421052631579
forkgram/tdesktop,36,34,telegramdesktop/tdesktop,0.9444444444444444
Rochet2/TrinityCore,35,34,TrinityCore/TrinityCore,0.9714285714285714
anholt/linux,34,26,raspberrypi/linux,0.7647058823529411
mriscoc/Marlin,34,26,MarlinFirmware/Marlin,0.7647058823529411
vel21ripn/nDPI,34,34,ntop/nDPI,1.0
1715173329/imoutowrt,31,12,immortalwrt/immortalwrt,0.3870967741935484
openmv/micropython,30,29,micropython/micropython,0.9666666666666667
wjakob/pybind11,29,29,pybind/pybind11,1.0
nix-windows/nix,28,23,NixOS/nix,0.8214285714285714
callum-oakley/qmk_firmware,27,13,qmk/qmk_firmware,0.48148148148148145
soulslicer/STAF,27,18,CMU-Perceptual-Computing-Lab/openpose,0.6666666666666666
Vertabreak/Marlin,24,19,MarlinFirmware/Marlin,0.7916666666666666
emoose/xenia,23,21,xenia-project/xenia,0.9130434782608695
