Fork name,has Fork Pulling Lag,Fork Pulling Lag (day),Fork Pulling Lag info
mwydmuch/extweme_wabbit,FALSE,0.13,无延迟（0.13天，未超阈值0.14天），pull次数=10212，中位数=0.0天
eisber/vowpal_wabbit,TRUE,0.14,延迟0.14天（超阈值0.14天），pull次数=8775，中位数=0.0天
hal3/vowpal_wabbit,TRUE,0.15,延迟0.15天（超阈值0.14天），pull次数=8071，中位数=0.0天
gemu2015/Sonoff-Tasmota,FALSE,0.03,无延迟（0.03天，未超阈值0.06天），pull次数=8437，中位数=0.0天
stefanbode/Sonoff-Tasmota,TRUE,0.11,延迟0.11天（超阈值0.06天），pull次数=20747，中位数=0.0天
ascillato/Tasmota_KNX,TRUE,0.1,延迟0.1天（超阈值0.06天），pull次数=16048，中位数=0.0天
digiblur/Tasmota,FALSE,0.03,无延迟（0.03天，未超阈值0.06天），pull次数=4397，中位数=0.0天
reloxx13/Sonoff-Tasmota-Modified,FALSE,0.03,无延迟（0.03天，未超阈值0.06天），pull次数=8442，中位数=0.0天
renesas/amazon-freertos,FALSE,4.53,无延迟（4.53天，未超阈值4.53天），pull次数=4495，中位数=0.0天
winterrace/rtl_433_win,FALSE,3.01,无延迟（3.01天，未超阈值3.01天），pull次数=2414，中位数=0.0天
wfr/ricochet-irc,FALSE,29.77,无延迟（29.77天，未超阈值29.77天），pull次数=864，中位数=0.0天
cube0x8/loadlibrary,FALSE,0.02,无延迟（0.02天，未超阈值0.02天），pull次数=123，中位数=0.0天
SindreMHegre/PX4-Autopilot-public,TRUE,13.33,延迟13.33天（超阈值11.31天），pull次数=46125，中位数=0.18天
modalai/px4-firmware,TRUE,13.53,延迟13.53天（超阈值11.31天），pull次数=46646，中位数=0.19天
cuav/PX4-Autopilot,TRUE,14.52,延迟14.52天（超阈值11.31天），pull次数=47118，中位数=0.21天
DISCOWER/PX4-Space-Systems,TRUE,13.58,延迟13.58天（超阈值11.31天），pull次数=48007，中位数=0.27天
Peize-Liu/PX4-Autopilot,TRUE,13.09,延迟13.09天（超阈值11.31天），pull次数=44812，中位数=0.17天
CopterExpress/Firmware,TRUE,13.46,延迟13.46天（超阈值11.31天），pull次数=40422，中位数=0.19天
ethz-asl/ethzasl_fw_px4,TRUE,13.13,延迟13.13天（超阈值11.31天），pull次数=41863，中位数=0.22天
ArduPilot/archived-PX4Firmware,FALSE,2.63,无延迟（2.63天，未超阈值11.31天），pull次数=17790，中位数=0.0天
ATLFlight/Firmware,FALSE,4.47,无延迟（4.47天，未超阈值11.31天），pull次数=23244，中位数=0.0天
ChristophHaag/openvr,FALSE,0.28,无延迟（0.28天，未超阈值0.28天），pull次数=79，中位数=0.0天
ljbade/doom3.gpl,FALSE,1.42,无延迟（1.42天，未超阈值1.42天），pull次数=38，中位数=0.0天
Yezz123-Archive/rawdrawandroid,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=122，中位数=0.0天
kwinthrop/not2bad-Craft,FALSE,0,无延迟（0.0天，未超阈值0.01天），pull次数=850，中位数=0.0天
DanielOaks/Craft,FALSE,0,无延迟（0.0天，未超阈值0.01天），pull次数=838，中位数=0.0天
zeliard/Craft,TRUE,0.01,延迟0.01天（超阈值0.01天），pull次数=367，中位数=0.0天
SystemPanic/flashinfer-windows,FALSE,0.03,无延迟（0.03天，未超阈值0.03天），pull次数=1219，中位数=0.0天
SKKU-ESLAB/IoTJS-Plus,FALSE,0.91,无延迟（0.91天，未超阈值0.91天），pull次数=1434，中位数=0.25天
sideeffects/USD,TRUE,4.11,延迟4.11天（超阈值3.07天），pull次数=14589，中位数=0.0天
autodesk-forks/USD,TRUE,4.13,延迟4.13天（超阈值3.07天），pull次数=19544，中位数=0.0天
NVIDIA-Omniverse/OpenUSD,TRUE,3.46,延迟3.46天（超阈值3.07天），pull次数=14609，中位数=0.0天
NVIDIAGameWorks/USD,FALSE,2.36,无延迟（2.36天，未超阈值3.07天），pull次数=10062，中位数=0.0天
LumaPictures/USD,FALSE,2.65,无延迟（2.65天，未超阈值3.07天），pull次数=11051，中位数=0.0天
marsupial/USD,FALSE,2.57,无延迟（2.57天，未超阈值3.07天），pull次数=10828，中位数=0.0天
dreamworksanimation/USD,FALSE,2.18,无延迟（2.18天，未超阈值3.07天），pull次数=7475，中位数=0.0天
nzzaidi/ServerStatus,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=183，中位数=0.0天
langren1353/ServerStatus,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=183，中位数=0.0天
Slider0007/AI-on-the-edge-device,FALSE,0.02,无延迟（0.02天，未超阈值0.02天），pull次数=1633，中位数=0.0天
maxisam/git-crypt,TRUE,23.49,延迟23.49天（超阈值11.75天），pull次数=226，中位数=0.0天
linus/git-crypt,FALSE,0,无延迟（0.0天，未超阈值11.75天），pull次数=12，中位数=0.0天
BrainFPV/inav,FALSE,2.83,无延迟（2.83天，未超阈值3.13天），pull次数=16591，中位数=0.0天
sambas/cleanflight,FALSE,3.13,无延迟（3.13天，未超阈值3.13天），pull次数=6632，中位数=0.0天
lkaino/Triflight,TRUE,3.58,延迟3.58天（超阈值3.13天），pull次数=4833，中位数=0.0天
iforce2d/cleanflight,FALSE,2.97,无延迟（2.97天，未超阈值3.13天），pull次数=4241，中位数=0.0天
MrChromebox/edk2,TRUE,17.38,延迟17.38天（超阈值10.58天），pull次数=34767，中位数=0.0天
jyao1/edk2,TRUE,11.41,延迟11.41天（超阈值10.58天），pull次数=30663，中位数=0.0天
loongson/edk2,TRUE,13.23,延迟13.23天（超阈值10.58天），pull次数=46507，中位数=0.0天
davidcie/VgaShim,FALSE,0.29,无延迟（0.29天，未超阈值10.58天），pull次数=29161，中位数=0.0天
rodneyrehm/libsass,FALSE,1.04,无延迟（1.04天，未超阈值1.04天），pull次数=2994，中位数=0.0天
c0re100/qBittorrent-Enhanced-Edition,TRUE,9.65,延迟9.65天（超阈值9.21天），pull次数=18335，中位数=0.0天
AndersMalmgren/qBittorrent,TRUE,10.26,延迟10.26天（超阈值9.21天），pull次数=15816，中位数=0.0天
ngosang/qBittorrent,FALSE,5.69,无延迟（5.69天，未超阈值9.21天），pull次数=12363，中位数=0.0天
suratovvlad/qBittorrent,TRUE,10.52,延迟10.52天（超阈值9.21天），pull次数=15004，中位数=0.0天
Gelmir/qBittorrent,TRUE,9.94,延迟9.94天（超阈值9.21天），pull次数=11487，中位数=0.0天
morrolinux/xournalpp,FALSE,0.57,无延迟（0.57天，未超阈值0.57天），pull次数=3814，中位数=0.0天
yongjhih/docker-redex,FALSE,0.05,无延迟（0.05天，未超阈值0.05天），pull次数=103，中位数=0.01天
theNded/Open3D,FALSE,1.33,无延迟（1.33天，未超阈值1.33天），pull次数=3273，中位数=0.0天
ajay9634/winlator-ajay,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=157，中位数=0.0天
longjunyu2/winlator,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=70，中位数=0.0天
Honkonx/winlator-honkon,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=70，中位数=0.0天
ewt45/winlator-fork,FALSE,0,无延迟（0.0天，未超阈值0.0天），pull次数=58，中位数=0.0天
microsoft/CMake,FALSE,4.44,无延迟（4.44天，未超阈值4.44天），pull次数=57560，中位数=0.0天
averycblack/mac-precision-touchpad,FALSE,0.03,无延迟（0.03天，未超阈值0.03天），pull次数=275，中位数=0.0天
