Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
0015/ThatProject,2272,1006,0,,286,286,0,,0.1764705882
0voice/cpp_new_features,6081,1209,1,zhchai/cpp_learning,1513,1513,0,0,0.5
0voice/introduce_c-cpp_manual,7619,874,1,zheyan-code/C-,73,73,0,0,0
0xFA11/MultiplayerNetworkingResources,8284,514,5,rumaniel/Awesome-Game-Networking;gafferongames/GameNetworkingResources;miwarnec/Game-Networking-Resources;SocketWeaver/Awesome-Game-Networking;MongkonEiadon/Awesome-Game-Networking,310,312,2,0.6,0.6071428571
0xZ0F/Z0FCourse_ReverseEngineering,5554,550,0,,245,245,0,,0.84
1technophile/OpenMQTTGateway,3912,841,2,theengs/OpenMQTTGateway;prahjister/433toMQTTto433_ESP8266,1761,1843,2,0,0.8644325971
360Controller/360Controller,6725,536,1,MaddTheSane/360Controller,679,782,1,1,0.7951807229
3proxy/3proxy,4757,940,0,,1024,1024,0,,0.2037037037
78/xiaozhi-esp32,22167,4469,11,Kevincoooool/xiaozhi-esp32;txp666/xiaozhi-esp32;104gogo/xiaozhi-esp32;TienHuyIoT/xiaozhi-esp32_vietnam;SmallPond/xiaozhi-esp32;wdmomoxx/xiaozhi-esp32;nulllaborg/xiaozhi-esp32;M-D-777/xiaozhi-esp32;dotnfc/xiaozhi-esp32;Zc365/xiaozhi-esp32;XiaoTeTech/xiaozhi-esp32,794,1751,10,0.6363636364,0.6032
86Box/86Box,3890,434,2,PCBox/PCBox;starfrost013/86Box,19436,22514,2,1,0.9195129195
AFLplusplus/AFLplusplus,6137,1202,2,elManto/DDFuzz;paocela/AFLplusplus-AndroidPatches,8262,8414,2,0,0.8881706529
AGWA/git-crypt,9273,525,3,linus/git-crypt;LykkeCity/git-crypt;maxisam/git-crypt,228,266,3,0.6666666667,0.0125
ANYbotics/grid_map,3006,779,2,ethz-asl/grid_map;leggedrobotics/grid_map,1094,1133,2,0.5,0.628975265
ARM-software/ComputeLibrary,3078,789,1,SKKU-ESLAB/ACL-lowp,5003,5019,1,0,0.603960396
ARMmbed/DAPLink,2623,1028,3,devanlai/DAPLink;bh3nvn/DAPLink253;redbear/DAPLink,2733,2801,3,0.3333333333,0.7964458805
ARMmbed/mbed-os,4801,2820,7,mbed-ce/mbed-os;NordicPlayground/mbed;sparkfun/mbed-os-ambiq-apollo3;arduino/mbed-os;chei0rof3orm-m0-3/mbed-os;rightyffufidr-m5-3/mbed-os;morningior-m0-5/mbed-os,45578,48388,4,0.5714285714,0.8414589776
AaronFeng753/Waifu2x-Extension-GUI,15757,1046,0,,2467,2467,0,,0.4
AcademySoftwareFoundation/openvdb,3122,680,2,ramakarl/win_openvdb;sideeffects/openvdb_dev,5331,5646,2,0.5,0.8091205212
AdAway/AdAway,8581,652,2,PerfectSlayer/AdAway;d4rken/ad-away,4969,4992,1,1,0.8041926851
Adaptix-Framework/AdaptixC2,2415,435,0,,521,521,0,,0.6111111111
Airblader/i3,5840,270,2,resloved/i3;FinnHering/i3,8428,8467,2,0.5,0.4761904762
Aleksoid1978/MPC-BE,3434,131,1,johnbeere/MPC-3D,9939,9943,1,0,0.8301158301
Alex313031/thorium,6580,234,0,,4799,4799,0,,0.4814814815
AlexAltea/orbital,3640,272,0,,300,300,0,,0.7142857143
AlexandreRouma/SDRPlusPlus,5352,703,4,sannysanoff/SDRPlusPlusBrown;F5OEO/SDRPlusPlus;SatDump/SDRPlusPlus;nkxingxh/SDRPlusPlus-CHS,1819,2938,4,0.25,0.557312253
Alexays/Waybar,10024,942,1,vaxerski/Waybar,4233,4233,0,1,0.8091922006
Alinshans/MyTinySTL,12328,3359,0,,1049,1049,0,,0.7882352941
Almamu/linux-wallpaperengine,3021,103,0,,571,571,0,,0.7916666667
AltraMayor/f3,3052,161,0,,339,339,0,,0.7647058824
AnkerLeng/Cpp-0-1-Resource,3376,1148,0,,15,15,0,,0
AnswerDotAI/gpu.cpp,3922,200,0,,451,451,0,,0.8070175439
AntiMicroX/antimicrox,3336,207,0,,2993,2993,0,,0.9343065693
Anttwo/SuGaR,3064,259,0,,31,31,0,,0
ApolloAuto/apollo,26277,9720,6,VincentWong3/apollo;Ewenwan/apollo;zhxt/apollo;DinnerHowe/apollo_read;TESLA-Self-Driving-Car/apollo;guardstrikelab/apollo,37421,38168,6,0.3333333333,0.8810170105
AppImage/AppImageKit,9205,598,0,,2602,2602,0,,0.7903225806
ApsaraDB/PolarDB-for-PostgreSQL,3102,501,0,,99792,99792,0,,0.7819767442
Ardour/ardour,4592,796,1,ngeiswei/ardour,49350,50284,1,1,0.2138671875
ArduPilot/ardupilot,14160,19026,21,bluerobotics/ardusub;kaiqzhan/ardupilot-raspilot;emlid/ardupilot;skybrush-io/ardupilot;tridge/ardupilot;nufeichuiyun/ardupilot;erlerobot/ardupilot;mit-gfx/ardupilot;night-ghost/ardupilot;BeaglePilot/ardupilot;rmackay9/rmackay9-ardupilot;jason4short/ardupilot;sh83/ardupilot;dronekit/ardupilot-releases;1harios/ardupilot;davidbuzz/ardupilot;priseborough/ardupilot;olliw42/BetaPilot;IamPete1/ardupilot;tpwrules/ardupilot;3drobotics/ardupilot,92554,148756,20,0.8095238095,0.6568344731
Arduino-IRremote/Arduino-IRremote,4876,1749,5,iosifpeterfi/Arduino-IRremote;mpflaga/Arduino-IRremote;ExploreEmbedded/Arduino-IRremote;SensorsIot/Arduino-IRremote;Neco777/Arduino-IRremote,941,1049,5,1,0.401459854
ArthurSonzogni/FTXUI,9196,563,0,,896,896,0,,0.9130434783
ArtifexSoftware/mupdf,2456,408,1,wmjordan/mupdf,13217,13324,1,0,0
Ascotbe/Kernelhub,3181,672,0,,98,98,0,,0.5
AstraThreshold/oled-ui-astra,2264,227,0,,117,117,0,,0.6
